Number,Peptide,Protein,Pmax,Kd,Rsquared,P value,MaxP,Points,Outlier 1,Outlier 2,Outlier 3,Run,Norm
Pep509,ErbB1-pY727,ABL1,97235.28,137083.0309,0.544847692,0.066976248,9.69,12,0,0,0,3,Baseline
Pep390,ErbB1-pY764,ABL1,95270.14,63781.56573,0.674741425,0.016079413,10.72,12,0,0,0,1,Baseline
Pep390,ErbB1-pY764,ABL1,2.56E-09,102.8123535,-0.40714056,0.276778066,4.875,12,-21.825,-18.985,-15.115,2,Baseline
Pep390,ErbB1-pY764,ABL1,64.55,24.32225245,0.925666729,1.58E-05,18.08,12,0,0,0,3,Baseline
Pep391,ErbB1-pY801,ABL1,6.54,0.010625522,0.438993978,0.153365716,12.01,12,0,0,0,1,Baseline
Pep391,ErbB1-pY801,ABL1,1.49E-10,203.7636203,-0.472238896,0.121099424,5.45,12,0,0,0,2,Baseline
Pep391,ErbB1-pY801,ABL1,99306.46,129085.1844,0.571294532,0.05233814,10.13,12,0,0,0,3,Baseline
Peptide698,ErbB1-pY801,ABL1,2.11,0,,,7.47,12,0,0,0,5,TXN
Peptide698-2,ErbB1-pY801,ABL1,95353.5,175114.8605,0.714306087,0.009056578,5.85,12,0,0,0,6,Baseline
Pep619,ErbB1-pY813,ABL1,97496.44,153089.5188,0.622618245,0.030592555,9.24,12,0,0,0,3,Baseline
Pep413,ErbB1-pY827,ABL1,99805.2,32365.58977,0.849989144,0.000920407,18.5,12,-9.015,0,0,1,Baseline
Pep413,ErbB1-pY827,ABL1,1.425805724,0,,,9.49,12,0,0,0,2,Baseline
Pep413,ErbB1-pY827,ABL1,0,204.4476978,-0.017744299,0.956350717,9.15,12,0,0,0,3,Baseline
Pep459,ErbB1-pY869,ABL1,72132.24,26891.87848,0.699008985,0.011423217,14.26,12,0,0,0,1,Baseline
Pep459,ErbB1-pY869,ABL1,80684.08107,143108.0956,-0.004508545,0.988905054,6.115,12,0,0,0,2,Baseline
Pep459,ErbB1-pY869,ABL1,0,264.7425991,0.222537277,0.486937169,3.7,12,0,0,0,3,Baseline
Pep618,ErbB1-pY891,ABL1,88117.34,281782.8093,0.373228303,0.232095207,5.78,12,0,0,0,3,Baseline
Pep415,ErbB1-pY900,ABL1,99995.34,42189.1123,0.607008486,0.036344584,12.9,12,0,0,0,1,Baseline
Pep415,ErbB1-pY900,ABL1,3868.462479,20612.94671,0.332090518,0.291604571,4.545,12,0,0,0,2,Baseline
Pep415,ErbB1-pY900,ABL1,98567.41,63718.11341,0.910598071,3.87E-05,16.19,12,0,0,0,3,Baseline
Peptide415_2-2,ErbB1-pY900,ABL1,0,174.1321599,-0.574124075,0.050918076,5.06,12,0,0,0,6,TXN
Peptide415-2,ErbB1-pY900,ABL1,0,214.8395319,-0.674386473,0.016156457,6.69,12,0,0,0,6,TXN
Pep460,ErbB1-pY915,ABL1,99999.58,51501.77571,0.815913204,0.002195028,12.37,12,9.185,0,0,1,Baseline
Pep460,ErbB1-pY915,ABL1,4.59E-06,523.4353191,-0.294949472,0.35201841,8.365,12,0,0,0,2,Baseline
Pep460,ErbB1-pY915,ABL1,94468.42,71788.71178,0.869005781,0.000242806,14.43,12,0,0,0,3,Baseline
Pep636,ErbB1-pY944,ABL1,89680.68,19834.016,0.971262481,1.47E-07,44.77,12,0,0,0,3,Baseline
Peptide636-2,ErbB1-pY944,ABL1,12.35,0.88854313,0.426001231,0.16733131,14.39,12,0,0,0,6,TXN
Peptide699,ErbB1-pY978,ABL1,66.87,5170.628966,-0.068021539,0.833631663,9.81,12,0,0,0,5,Baseline
Pep502,ErbB1-pY998,ABL1,100000,111660.3171,0.072313015,0.823277128,8.46,12,0,0,0,1,Baseline
Pep502,ErbB1-pY998,ABL1,2.80E-09,103.6879363,-0.658889763,0.019792314,4.265,12,0,0,0,2,Baseline
Pep502,ErbB1-pY998,ABL1,97808.35,53244.97366,0.883893062,0.000136331,22.99,12,0,0,0,3,Baseline
Pep200,ErbB2-pY1005,ABL1,10.37,0.354649704,0.856919911,0.000369545,11.97,12,0,0,0,1,Baseline
Pep200,ErbB2-pY1005,ABL1,6.27E-07,135.4339988,-0.239048138,0.454296735,6.61,12,0,0,0,2,Baseline
Pep200,ErbB2-pY1005,ABL1,0.19,1346.037347,0.674002178,0.016240176,2.74,12,0,0,0,3,Baseline
Pep475,ErbB2-pY1023,ABL1,95494.88,37251.927,0.647409012,0.022847266,16.22,12,0,0,0,1,Baseline
Pep475,ErbB2-pY1023,ABL1,1.94E-08,135.3310039,-0.424051512,0.193669239,4.955,12,-14.175,0,0,2,Baseline
Pep475,ErbB2-pY1023,ABL1,5.22,1.19118996,0.710999643,0.009533869,6.37,12,0,0,0,3,Baseline
Pep261,ErbB2-pY1112,ABL1,21.33,3.87971142,0.843973256,0.000556974,11.57,12,0,0,0,1,Baseline
Pep261,ErbB2-pY1112,ABL1,7.36E-12,184.0240543,-0.535719482,0.07262398,7.88,12,0,0,0,2,Baseline
Pep261,ErbB2-pY1112,ABL1,96625.29,97084.58406,0.407001944,0.189152642,14.76,12,0,0,0,3,Baseline
Peptide702,ErbB2-pY1112,ABL1,0,295.5358531,-0.301293803,0.341258893,5.24,12,0,0,0,5,Baseline
Pep202,ErbB2-pY1127,ABL1,99864.91,40395.89905,0.93264046,2.84E-05,14.17,12,-15.02,0,0,1,Baseline
Pep202,ErbB2-pY1127,ABL1,96907.90738,79792.5143,0.418515209,0.175729845,10.535,12,0,0,0,2,Baseline
Pep202,ErbB2-pY1127,ABL1,55.74,5.345459894,0.962993331,5.14E-07,35.05,12,0,0,0,3,Baseline
Pep202,ErbB2-pY1127,ABL1,99861.68,21306.54597,0.967537346,2.69E-07,48.33,12,0,0,0,3,Baseline
Pep441,ErbB2-pY1139,ABL1,78227.49,26209.98372,0.837795598,0.000668952,15.27,12,0,0,0,1,Baseline
Pep441,ErbB2-pY1139,ABL1,59955.90036,209718.704,0.440650434,0.151640594,2.275,12,0,0,0,2,Baseline
Pep611,ErbB2-pY1139,ABL1,13.69,1.221576844,0.823422795,0.001840977,16.61,12,-13.21,0,0,3,Baseline
Peptide703,ErbB2-pY1139,ABL1,99938.17,29977.22464,0.9554626,1.28E-06,35.61,12,0,0,0,5,Baseline
Pep193,ErbB2-pY1139-18mer,ABL1,99803.29,40485.71967,0.761962212,0.00397139,15.82,12,0,0,0,1,Baseline
Pep193,ErbB2-pY1139-18mer,ABL1,98871.49478,119799.5748,0.504469019,0.113544919,7.47,12,-13.9,0,0,2,Baseline
Pep193,ErbB2-pY1139-18mer,ABL1,99999.94,27555.34996,0.931288129,1.07E-05,40.09,12,0,0,0,3,Baseline
Pep193,ErbB2-pY1139-18mer,ABL1,338.14,70.77101525,0.954437471,1.43E-06,42.2,12,0,0,0,3,Baseline
Peptide193-2,ErbB2-pY1139-18mer,ABL1,0,112.8424281,-0.702888446,0.034687381,2.72,12,-30.9,-30.65,-26,6,Baseline
Pep479,ErbB2-pY1196,ABL1,29897.5,220662.4569,-0.037516492,0.907847301,4.42,12,0,0,0,1,Baseline
Pep479,ErbB2-pY1196,ABL1,5.27E-09,294.8975367,-0.392039564,0.207518703,6.385,12,0,0,0,2,Baseline
Pep479,ErbB2-pY1196,ABL1,11.69,0.063547367,0.617017323,0.032575051,19.61,12,0,0,0,3,Baseline
Pep480,ErbB2-pY1221,ABL1,91959.93,167094.2593,0.274914893,0.3871551,4.49,12,0,0,0,1,Baseline
Pep480,ErbB2-pY1221,ABL1,2.54E-07,134.0455566,-0.162460601,0.613934238,3.58,12,0,0,0,2,Baseline
Pep480,ErbB2-pY1221,ABL1,99538.42,44943.33318,0.779017757,0.002824952,29.54,12,0,0,0,3,Baseline
Pep481,ErbB2-pY1222,ABL1,1059.47,20562.44147,0.006939743,0.982922822,7.39,12,0,0,0,1,Baseline
Pep481,ErbB2-pY1222,ABL1,1.26E-05,265.2243842,-0.079878545,0.805086678,8.2,12,0,0,0,2,Baseline
Pep481,ErbB2-pY1222,ABL1,99980.48,23167.43676,0.939852416,5.60E-06,42.22,12,0,0,0,3,Baseline
Pep482,ErbB2-pY1248,ABL1,93453.94,141796.6549,0.55948055,0.058567553,4.97,12,0,0,0,1,Baseline
Pep482,ErbB2-pY1248,ABL1,7.46E-08,244.4288267,-0.33293442,0.290304849,5.24,12,0,0,0,2,Baseline
Pep482,ErbB2-pY1248,ABL1,16.04,2.231133702,0.832425845,0.000779781,14.33,12,0,0,0,3,Baseline
Pep367,ErbB2-pY685,ABL1,31.93,2.955468354,0.877248456,0.000177992,19.55,12,0,0,0,1,Baseline
Pep367,ErbB2-pY685,ABL1,91276.18093,52251.39568,0.540969877,0.069337078,11.435,12,0,0,0,2,Baseline
Pep367,ErbB2-pY685,ABL1,77152.91,353732.5972,0.437822035,0.154593774,6.29,12,0,0,0,3,Baseline
Pep258,ErbB2-pY735,ABL1,40.74,19.66558989,0.714433786,0.009038509,7.89,12,0,0,0,1,Baseline
Pep258,ErbB2-pY735,ABL1,8.80E-07,134.081552,0.107454796,0.739589536,3.565,12,0,0,0,2,Baseline
Pep258,ErbB2-pY735,ABL1,95939.64,60245.03104,0.600960206,0.050535905,21.9,12,12.535,0,0,3,Baseline
Pep263,ErbB2-pY772,ABL1,11.86,2.335163907,0.426140642,0.167177354,9.49,12,0,0,0,1,Baseline
Pep263,ErbB2-pY772,ABL1,5.83E-08,245.291754,0.014949645,0.963220818,2.78,12,0,0,0,2,Baseline
Pep263,ErbB2-pY772,ABL1,98776.96,37734.75079,0.856291127,0.001563083,27.66,12,16.725,12.995,0,3,Baseline
Pep198,ErbB2-pY781,ABL1,11.08,0.942665642,0.563064552,0.056625917,12.81,12,0,0,0,1,Baseline
Pep198,ErbB2-pY781,ABL1,7.59E-09,103.8139833,-0.116825938,0.717666692,3.045,12,0,0,0,2,Baseline
Pep198,ErbB2-pY781,ABL1,97559.62,129084.982,0.613024422,0.034043505,11.75,12,0,0,0,3,Baseline
Peptide700,ErbB2-pY781,ABL1,33.99,11.94513314,0.839738611,0.00063201,14.41,12,0,0,0,5,Baseline
Pep199,ErbB2-pY803,ABL1,0,0,0,1,6.14,12,0,0,0,1,Baseline
Pep199,ErbB2-pY803,ABL1,1.46E-06,146.2719717,0.280625948,0.376961519,0.76,12,0,0,0,2,Baseline
Pep199,ErbB2-pY803,ABL1,99264.22,71631.02448,0.527332118,0.078093956,16.62,12,0,0,0,3,Baseline
Peptide701,ErbB2-pY803,ABL1,99448.01,151603.0769,0.553417044,0.061957179,10.94,12,0,0,0,5,Baseline
Peptide701,ErbB2-pY803,ABL1,97653.14,119787.4912,0.424988958,0.168451872,9.84,12,0,0,0,5,Baseline
Pep394,ErbB2-pY835,ABL1,3.4,-0.029389629,0.855248447,0.000790118,6.89,12,26.73,0,0,1,Baseline
Pep394,ErbB2-pY835,ABL1,1.44E-09,184.9170898,-0.296067516,0.350109332,5.9,12,0,0,0,2,Baseline
Pep394,ErbB2-pY835,ABL1,98091.21,113085.2938,0.371902811,0.233889458,10.76,12,0,0,0,3,Baseline
Pep395,ErbB2-pY877,ABL1,93083.76,52246.31339,0.731482124,0.010517657,9.63,12,9.355,0,0,1,Baseline
Pep395,ErbB2-pY877,ABL1,19.35107876,10.92428407,0.501459794,0.096722357,6.22,12,0,0,0,2,Baseline
Pep395,ErbB2-pY877,ABL1,0,296.5612958,0.114778773,0.722439779,4.14,12,0,0,0,3,Baseline
Peptide395-2,ErbB2-pY877,ABL1,55794.34,372622.5313,0.548819999,0.064616025,6.34,12,0,0,0,6,Baseline
Pep476,ErbB3-pY1054,ABL1,98430.73,59989.42782,0.492991873,0.123365847,9.44,12,8.895,0,0,1,Baseline
Pep476,ErbB3-pY1054,ABL1,1.92E-08,184.7510869,-0.090560526,0.779555292,4,12,0,0,0,2,Baseline
Pep476,ErbB3-pY1054,ABL1,8.34,0.696776825,0.577895387,0.049067708,11.6,12,0,0,0,3,Baseline
Pep249,ErbB3-pY1132,ABL1,17552.53,23045.97567,0.209391074,0.513661642,6.91,12,0,0,0,1,Baseline
Pep249,ErbB3-pY1132,ABL1,4.367599517,0.000643808,0.094668233,0.769788928,10.1,12,0,0,0,2,Baseline
Pep249,ErbB3-pY1132,ABL1,0,184.9640265,0.055463326,0.864066505,6.3,12,0,0,0,3,Baseline
Peptide133,ErbB3-pY1132-18mer,ABL1,99709.71,60470.34289,0.87365575,0.000204321,19.6,12,0,0,0,3,Baseline
Pep250,ErbB3-pY1159,ABL1,137.83,22.67360179,0.954131747,1.48E-06,25.08,12,0,0,0,1,Baseline
Pep250,ErbB3-pY1159,ABL1,94736.82787,71787.23654,0.616382395,0.032805459,6.555,12,0,0,0,2,Baseline
Pep250,ErbB3-pY1159,ABL1,53036.5,7725.708182,0.984013437,8.01E-09,68.64,12,0,0,0,3,Baseline
Peptide250-2,ErbB3-pY1159,ABL1,0,99.22011225,-0.345890892,0.36188229,1.32,12,-44.53,-41.7,-41.31,6,Baseline
Pep212,ErbB3-pY1159-18mer,ABL1,96456.65,67929.86358,0.483701476,0.131701586,7.76,12,-10.085,0,0,1,Baseline
Pep212,ErbB3-pY1159-18mer,ABL1,98028.4621,71791.28391,0.210988412,0.510380673,12.425,12,0,0,0,2,Baseline
Pep212,ErbB3-pY1159-18mer,ABL1,81.73,12.13370356,0.917435963,2.63E-05,35.83,12,0,0,0,3,Baseline
Peptide212-2,ErbB3-pY1159-18mer,ABL1,3493.28,943.7514447,0.96599228,3.38E-07,36.35,12,0,0,0,6,Baseline
Pep409,ErbB3-pY1197,ABL1,99965.47,37057.71898,0.86760716,0.000538741,14.62,12,9.89,0,0,1,Baseline
Pep409,ErbB3-pY1197,ABL1,4.10E-10,184.217837,-0.222963576,0.486081299,4.69,12,0,0,0,2,Baseline
Pep409,ErbB3-pY1197,ABL1,98679.43,60128.83676,0.698949044,0.011433309,21.08,12,0,0,0,3,Baseline
Pep616,ErbB3-pY1199,ABL1,0,185.0964256,0.285929866,0.367620778,4.29,12,0,0,0,3,Baseline
Pep483,ErbB3-pY1222,ABL1,37.08,12.10564438,0.824603691,0.001789452,11.01,12,10.61,0,0,1,Baseline
Pep483,ErbB3-pY1222,ABL1,3.92E-08,134.4381234,-0.469413046,0.171077323,4.48,12,-32.02,-30.48,0,2,Baseline
Pep483,ErbB3-pY1222,ABL1,92061.02,55776.07347,0.858832166,0.000709662,19.22,12,-16.98,0,0,3,Baseline
Pep484,ErbB3-pY1224,ABL1,46.78,6.903717451,0.946233205,1.05E-05,19.95,12,11.12,0,0,1,Baseline
Pep484,ErbB3-pY1224,ABL1,2.34E-07,84.95445738,-0.216119682,0.576503302,6.525,12,-38.705,-31.705,-31.335,2,Baseline
Pep484,ErbB3-pY1224,ABL1,178.06,31.33302145,0.951902464,1.87E-06,43.58,12,0,0,0,3,Baseline
Pep485,ErbB3-pY1260,ABL1,3.65,0.006026088,0.349108627,0.292663661,7.87,12,-16.99,0,0,1,Baseline
Pep485,ErbB3-pY1260,ABL1,3.00E-11,103.7093866,-0.375914818,0.254550478,5.735,12,-15.055,0,0,2,Baseline
Pep485,ErbB3-pY1260,ABL1,87852.37,361735.0795,0.763248494,0.0062754,7.56,12,-19.9,0,0,3,Baseline
Pep495,ErbB3-pY1262,ABL1,70657.75,87073.2729,0.758169207,0.006849543,4.33,11,0,0,0,1,Baseline
Pep495,ErbB3-pY1262,ABL1,1.17E-08,184.6721354,-0.279889548,0.378268026,5.95,12,0,0,0,2,Baseline
Pep505,ErbB3-pY1276,ABL1,99352.33,135094.1884,0.317379465,0.341584596,8.72,12,-9.945,0,0,1,Baseline
Pep505,ErbB3-pY1276,ABL1,7.22E-09,293.350821,-0.154415829,0.631817293,3.28,12,0,0,0,2,Baseline
Pep505,ErbB3-pY1276,ABL1,99633.08,169084.7208,0.588073979,0.044310517,10.69,12,0,0,0,3,Baseline
Pep498,ErbB3-pY1289,ABL1,8.37,0.497504944,0.577035211,0.049485516,10.71,12,0,0,0,1,Baseline
Pep498,ErbB3-pY1289,ABL1,2.79E-09,104.2538362,-0.601827592,0.038413468,10.235,12,0,0,0,2,Baseline
Pep498,ErbB3-pY1289,ABL1,99585.29,151115.7128,0.331174599,0.319814859,8.83,12,30.435,0,0,3,Baseline
Pep251,ErbB3-pY1307,ABL1,99882.07,20633.14121,0.92068545,5.81E-05,24.87,12,-5.475,0,0,1,Baseline
Pep251,ErbB3-pY1307,ABL1,81.22432936,29.40424555,0.63241704,0.027335199,11.93,12,0,0,0,2,Baseline
Pep251,ErbB3-pY1307,ABL1,152.55,8.913939669,0.984975154,5.88E-09,77.59,12,0,0,0,3,Baseline
Pep506,ErbB3-pY1328,ABL1,94412.62,79792.96341,0.477024644,0.116856716,6.39,12,0,0,0,1,Baseline
Pep506,ErbB3-pY1328,ABL1,6857.249376,25620.65695,-0.06498822,0.84096526,8.53,12,0,0,0,2,Baseline
Pep506,ErbB3-pY1328,ABL1,91108.04,207114.9634,0.027370414,0.940172052,11.38,12,13.3,-15.82,0,3,Baseline
Pep494,ErbB3-pY665,ABL1,97412.28,111796.8419,0.453308417,0.138867559,7.14,12,0,0,0,1,Baseline
Pep494,ErbB3-pY665,ABL1,1.82E-08,103.8128738,-0.40154886,0.195725208,6.2,12,0,0,0,2,Baseline
Pep209,ErbB3-pY665-18mer,ABL1,11.74,1.557712353,0.71920688,0.008382236,9.49,12,0,0,0,1,Baseline
Pep209,ErbB3-pY665-18mer,ABL1,2.45E-07,305.9551868,0.022731824,0.944096927,4.41,12,0,0,0,2,Baseline
Pep209,ErbB3-pY665-18mer,ABL1,49.41,9.217641874,0.81392431,0.002296751,25.93,12,-8.245,0,0,3,Baseline
Pep534,ErbB3-pY680,ABL1,34.83,18.34206906,0.329740593,0.322042266,7.59,12,9.6,0,0,1,Baseline
Pep534,ErbB3-pY680,ABL1,6.84E-08,304.6330856,-0.06891004,0.83148583,5.18,12,0,0,0,2,Baseline
Pep534,ErbB3-pY680,ABL1,99923.51,175132.7351,0.725749149,0.007541412,7.3,12,0,0,0,3,Baseline
Pep163,ErbB3-pY680-18mer,ABL1,14.41,2.259405733,0.787791059,0.002343994,10.65,12,0,0,0,1,Baseline
Pep163,ErbB3-pY680-18mer,ABL1,1.20E-07,135.5219757,-0.26296184,0.408939502,2.89,12,0,0,0,2,Baseline
Pep163,ErbB3-pY680-18mer,ABL1,0,275.2531236,-0.138912951,0.666788195,7.41,12,0,0,0,3,Baseline
Pep257,ErbB3-pY789,ABL1,0,533.7913341,0.146267428,0.667823306,3.45,12,9.86,0,0,1,Baseline
Pep257,ErbB3-pY789,ABL1,6.21E-07,134.4830287,-0.087088095,0.787834185,9.645,12,0,0,0,2,Baseline
Pep257,ErbB3-pY789,ABL1,6563.56,25712.71585,0.332400982,0.317916531,9.37,12,13.705,0,0,3,Baseline
Pep392,ErbB3-pY823,ABL1,7.59,2.293181804,0.435413487,0.157137287,7.99,12,0,0,0,1,Baseline
Pep392,ErbB3-pY823,ABL1,5.51E-06,263.1714427,-0.320258784,0.310171274,8.71,12,0,0,0,2,Baseline
Pep392,ErbB3-pY823,ABL1,1148.51,414.8135895,0.926392404,1.50E-05,27.26,12,0,0,0,3,Baseline
Pep393,ErbB3-pY824,ABL1,23.79,4.305074069,0.764763371,0.003762385,12.53,12,0,0,0,1,Baseline
Pep393,ErbB3-pY824,ABL1,1079.817945,20953.22576,-0.060448288,0.851962916,4.365,12,0,0,0,2,Baseline
Pep393,ErbB3-pY824,ABL1,0,325.9928465,0.371966965,0.233802427,8.94,12,0,0,0,3,Baseline
Pep461,ErbB3-pY868,ABL1,99537.85,50492.11181,0.821036047,0.003594102,12.35,12,-17.48,-11.18,0,1,Baseline
Pep461,ErbB3-pY868,ABL1,50692.3038,217757.8067,0.143109293,0.657258503,4.065,12,0,0,0,2,Baseline
Pep461,ErbB3-pY868,ABL1,98100.31,71775.98499,0.821497179,0.001048817,13.72,12,0,0,0,3,Baseline
Pep535,ErbB3-pY912,ABL1,49.87,57.06319397,0.380491261,0.222409841,6.28,12,0,0,0,1,Baseline
Pep535,ErbB3-pY912,ABL1,0.000157456,0,1.08E-16,1,10.145,12,0,0,0,2,Baseline
Pep535,ErbB3-pY912,ABL1,98879.12,37568.2393,0.915112466,3.01E-05,27.77,12,0,0,0,3,Baseline
Pep133,ErbB3-pY912-18mer,ABL1,7.21,0.30499729,0.593438371,0.041939261,8.84,12,0,0,0,1,Baseline
Pep133,ErbB3-pY912-18mer,ABL1,3405.505,5135.509195,0.526808828,0.095911003,3.545,12,12.845,0,0,2,Baseline
Pep133,ErbB3-pY912-18mer,ABL1,96287.1,71780.2645,0.746497773,0.005287983,15.13,12,0,0,0,3,Baseline
Pep407,ErbB3-pY975,ABL1,99356.65,39395.82035,0.718094039,0.008531953,16.07,12,0,0,0,1,Baseline
Pep407,ErbB3-pY975,ABL1,6.56E-07,145.5570357,-0.095937444,0.766777419,3.775,12,0,0,0,2,Baseline
Pep407,ErbB3-pY975,ABL1,0,145.7175656,-0.086234456,0.825409626,2.33,12,-22.765,-17.605,-16.155,3,Baseline
Pep253,ErbB4-pY1022,ABL1,0,293.628249,-0.287553683,0.364785536,4.26,12,0,0,0,1,Baseline
Pep253,ErbB4-pY1022,ABL1,2.514170828,0,-9.73E-17,1,11.31,12,0,0,0,2,Baseline
Pep253,ErbB4-pY1022,ABL1,2.54,0.001015673,0.066234097,0.846579804,6.23,12,-19.88,0,0,3,Baseline
Pep542,ErbB4-pY1035,ABL1,2.83,0.003119032,0.301882302,0.340269915,7.52,12,0,0,0,1,Baseline
Pep542,ErbB4-pY1035,ABL1,4.11E-06,144.531004,-0.507500555,0.092130487,6.54,12,0,0,0,2,Baseline
Pep542,ErbB4-pY1035,ABL1,96432.92,97089.95494,0.637213311,0.025835697,12.14,12,0,0,0,3,Baseline
Pep227,ErbB4-pY1056,ABL1,98782.27,50955.05929,0.623737674,0.030206981,11.77,12,0,0,0,1,Baseline
Pep227,ErbB4-pY1056,ABL1,6.98E-09,103.8529189,-0.641965076,0.03321159,5.3,12,-24.13,0,0,2,Baseline
Pep227,ErbB4-pY1056,ABL1,53.38,22.80323204,0.695130496,0.012089951,16.32,12,0,0,0,3,Baseline
Pep227,ErbB4-pY1056,ABL1,99679.59,143796.0863,0.872844592,0.000210666,13.02,12,0,0,0,3,Baseline
Pep207,ErbB4-pY1056-18mer,ABL1,10.43,1.462507734,0.545874213,0.066360709,8.15,12,0,0,0,1,Baseline
Pep207,ErbB4-pY1056-18mer,ABL1,1.17E-07,133.9671292,0.171738802,0.593547034,-1.47,12,0,0,0,2,Baseline
Pep537,ErbB4-pY1066,ABL1,97504.64,37249.69865,0.725596623,0.007560264,16,12,0,0,0,1,Baseline
Pep537,ErbB4-pY1066,ABL1,82957.13062,215112.7245,0.324850699,0.302889371,5.765,12,0,0,0,2,Baseline
Pep537,ErbB4-pY1066,ABL1,0,305.1825507,-0.021194295,0.9536583,11.26,12,-20.28,-15.86,0,3,Baseline
Pep143,ErbB4-pY1066-18mer,ABL1,14.25,10.12968838,0.17375184,0.609398287,7.38,12,-13.835,0,0,1,Baseline
Pep143,ErbB4-pY1066-18mer,ABL1,5.52E-06,523.3625258,-0.435251862,0.157308915,8.755,12,0,0,0,2,Baseline
Pep143,ErbB4-pY1066-18mer,ABL1,53.22,127.4096164,0.551272814,0.063187733,3.55,12,0,0,0,3,Baseline
Pep254,ErbB4-pY1081,ABL1,0.96,0.807585632,0.374878228,0.285805722,4.48,12,-11.365,9.235,0,1,Baseline
Pep254,ErbB4-pY1081,ABL1,3.344412476,2.881958871,-0.07056798,0.827484544,10.485,12,0,0,0,2,Baseline
Pep254,ErbB4-pY1081,ABL1,97756.59,207098.1021,0.785718165,0.002451509,6.89,12,0,0,0,3,Baseline
Pep255,ErbB4-pY1128,ABL1,40.94,20.15252956,0.429039467,0.163996338,8.82,12,0,0,0,1,Baseline
Pep255,ErbB4-pY1128,ABL1,2.40E-07,134.0271617,-0.19423284,0.545247327,4.73,12,0,0,0,2,Baseline
Pep255,ErbB4-pY1128,ABL1,0,1215.85328,0.064788437,0.841448686,8.08,12,0,0,0,3,Baseline
Peptide708,ErbB4-pY1128,ABL1,0,305.6481871,-0.035959315,0.911658768,5.76,12,0,0,0,5,Baseline
Pep256,ErbB4-pY1150,ABL1,99558.41,22653.45775,0.930524137,9.37E-05,23.97,12,-6.36,-7.73,0,1,Baseline
