21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,0.002441406,0.002441406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177.52,178.39,157.9,165.13,177.83,163.23,169.44,162.93,171.93,173.21,163.31,165.17,165.73,168.53,166.66,163.8,174.65,168.97,166.88,163.46,169.66,164.74,170.69,166.48,,Peptide446,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,166.885,10.635,11.505,-8.985,-1.755,10.945,-3.655,2.555,-3.955,5.045,6.325,-3.575,-1.715,-1.155,1.645,-0.225,-3.085,7.765,2.085,-0.005,-3.425,2.775,-2.145,3.805,-0.405
175.09,178.13,171.14,165.92,167.73,170.36,169.49,169.61,164.12,171.43,166.9,164.85,170.62,145.32,173.01,164.81,167.83,169.43,163.77,166.8,167.37,165.32,164.02,159.14,,Peptide446,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,8.205,11.245,4.255,-0.965,0.845,3.475,2.605,2.725,-2.765,4.545,0.015,-2.035,3.735,-21.565,6.125,-2.075,0.945,2.545,-3.115,-0.085,0.485,-1.565,-2.865,-7.745
176.81,169.86,171.94,169.68,171.73,173.34,165.78,161.16,166.99,171.86,166.27,166.29,169.34,159.29,169.45,169.64,165.78,159.25,168.59,168.33,174.11,165.77,167.87,168.49,,Peptide446,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,9.925,2.975,5.055,2.795,4.845,6.455,-1.105,-5.725,0.105,4.975,-0.615,-0.595,2.455,-7.595,2.565,2.755,-1.105,-7.635,1.705,1.445,7.225,-1.115,0.985,1.605
174.95,171.34,169.51,176.55,168.19,179.66,168.49,174,175.11,170.89,174.28,166.09,170.14,168.02,168.29,165.78,173.84,160.42,173.81,169.42,172.5,165.51,161.48,162.37,,Peptide446,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,8.065,4.455,2.625,9.665,1.305,12.775,1.605,7.115,8.225,4.005,7.395,-0.795,3.255,1.135,1.405,-1.105,6.955,-6.465,6.925,2.535,5.615,-1.375,-5.405,-4.515
169.81,186.1,164.17,171.35,172.69,171.94,169.62,167.31,169.67,171.77,167.51,162.37,167.24,165.66,164.89,163.88,166.76,167.45,168.92,168.08,170.87,166.31,171.67,166.7,,Peptide446,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2.925,19.215,-2.715,4.465,5.805,5.055,2.735,0.425,2.785,4.885,0.625,-4.515,0.355,-1.225,-1.995,-3.005,-0.125,0.565,2.035,1.195,3.985,-0.575,4.785,-0.185
171.03,177.01,168.09,169.01,170.95,166.52,168.72,168.56,166.87,172.46,165.69,165.9,165.52,172.22,169.97,166.1,157.78,163.47,167.9,169.67,168.04,170.21,172.33,155.16,,Peptide446,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,4.145,10.125,1.205,2.125,4.065,-0.365,1.835,1.675,-0.015,5.575,-1.195,-0.985,-1.365,5.335,3.085,-0.785,-9.105,-3.415,1.015,2.785,1.155,3.325,5.445,-11.725
174.29,170.7,175.42,163.76,173.27,169.71,168,165.6,160.99,172.21,162.88,162.91,159.73,163.69,173.1,167.73,169.24,163.36,164.16,166.62,173.02,168.1,174.77,167.96,,Peptide446,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,7.405,3.815,8.535,-3.125,6.385,2.825,1.115,-1.285,-5.895,5.325,-4.005,-3.975,-7.155,-3.195,6.215,0.845,2.355,-3.525,-2.725,-0.265,6.135,1.215,7.885,1.075
180.74,168.05,172.35,179.78,174.34,170.79,176.81,161.26,170.73,164.63,173.11,171.4,174.42,167.94,170.11,174.16,156.02,167.21,163.92,168.33,163.97,163.17,168.5,168.02,,Peptide446,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,13.855,1.165,5.465,12.895,7.455,3.905,9.925,-5.625,3.845,-2.255,6.225,4.515,7.535,1.055,3.225,7.275,-10.865,0.325,-2.965,1.445,-2.915,-3.715,1.615,1.135
179.38,165.16,176.93,168.33,176.69,160.52,163.73,164.15,164.28,163.69,174.23,162,165.64,170.22,165.03,160.02,165.78,159.73,167.7,153.43,167.21,168.43,170.73,172.65,,Peptide446,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,12.495,-1.725,10.045,1.445,9.805,-6.365,-3.155,-2.735,-2.605,-3.195,7.345,-4.885,-1.245,3.335,-1.855,-6.865,-1.105,-7.155,0.815,-13.455,0.325,1.545,3.845,5.765
172.19,173.57,171.27,170.71,168.86,175.32,168.35,164.47,170.53,170.33,170.94,174.74,172.3,168.89,163.49,163.49,167.12,167.01,161.14,159.86,170.6,174.27,173.76,160.03,,Peptide446,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5.305,6.685,4.385,3.825,1.975,8.435,1.465,-2.415,3.645,3.445,4.055,7.855,5.415,2.005,-3.395,-3.395,0.235,0.125,-5.745,-7.025,3.715,7.385,6.875,-6.855
168.48,168.23,175.19,162.69,173.64,160.64,166.69,161.68,163.97,166.06,172.32,166.23,158.97,162.88,166,164.52,167.03,171.8,167.23,164.05,168.62,161.65,165.93,169.75,,Peptide446,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.595,1.345,8.305,-4.195,6.755,-6.245,-0.195,-5.205,-2.915,-0.825,5.435,-0.655,-7.915,-4.005,-0.885,-2.365,0.145,4.915,0.345,-2.835,1.735,-5.235,-0.955,2.865
171.19,171.75,167.03,166.12,168.07,171.24,167.39,174.42,173.59,171.39,174.74,158.76,170.14,172.44,166.98,175.06,164.56,169.93,167.46,173.23,171.21,167.28,159.48,168.67,,Peptide446,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,4.305,4.865,0.145,-0.765,1.185,4.355,0.505,7.535,6.705,4.505,7.855,-8.125,3.255,5.555,0.095,8.175,-2.325,3.045,0.575,6.345,4.325,0.395,-7.405,1.785
167.43,178.23,179.7,172.7,163.12,168.31,170.82,170.6,165.94,158.21,159.57,162.89,171.81,160.79,166.26,161.07,164,166.49,167.36,164.23,172.27,162.32,161.11,163.6,,Peptide446,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.545,11.345,12.815,5.815,-3.765,1.425,3.935,3.715,-0.945,-8.675,-7.315,-3.995,4.925,-6.095,-0.625,-5.815,-2.885,-0.395,0.475,-2.655,5.385,-4.565,-5.775,-3.285
173.36,323.88,166.22,259.88,164.74,232.16,171.31,193.19,166.38,188.83,173.08,175.44,171.84,170.5,166.16,162.69,167.58,168.99,161.48,165.62,171.85,165.65,169.87,170.27,,Peptide446,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,6.475,156.995,-0.665,92.995,-2.145,65.275,4.425,26.305,-0.505,21.945,6.195,8.555,4.955,3.615,-0.725,-4.195,0.695,2.105,-5.405,-1.265,4.965,-1.235,2.985,3.385
171.97,175.47,173.84,163.15,166.02,162.95,164.21,155.53,174.96,165.96,174.89,162.24,168.05,166.61,164.87,165.3,169.51,169.2,165.15,164.23,179.13,169.74,164.35,169.36,,Peptide446,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5.085,8.585,6.955,-3.735,-0.865,-3.935,-2.675,-11.355,8.075,-0.925,8.005,-4.645,1.165,-0.275,-2.015,-1.585,2.625,2.315,-1.735,-2.655,12.245,2.855,-2.535,2.475
166.22,173.69,187.02,175.27,184.7,176.42,174.68,177.39,172.84,167.17,172.79,178.12,177.81,181.74,171.65,180.7,165.4,171.41,170.56,171.03,174.9,172.31,179.97,156.93,,Peptide446,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-0.665,6.805,20.135,8.385,17.815,9.535,7.795,10.505,5.955,0.285,5.905,11.235,10.925,14.855,4.765,13.815,-1.485,4.525,3.675,4.145,8.015,5.425,13.085,-9.955
160.87,173.9,170.49,169.52,169.52,163.5,159.9,163.51,166.95,162.49,169.54,159.89,159.66,169.72,163.91,161.59,166.82,163.21,159.27,169.59,167,167.99,174.52,,,Peptide446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
