34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,,,,,,,,,,,,,,,,,,,,,,,,
255.88,211.48,242.61,208.18,229.72,231.72,224.33,210.53,212.11,186.16,206.51,203.49,201.86,200.26,200.19,189.83,197.48,193.77,199.75,201.07,194.43,195.86,200.19,191.94,,Peptide450_1,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218.43,240.77,212.29,227.54,217.36,219.85,219.6,210.66,211.66,200.59,199.22,209.19,202.43,198.25,203.92,198.4,199.53,200.73,193.52,198.72,203.41,192.08,195.09,191.3,,Peptide450_1,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
283.97,276.73,276.62,248.98,265.07,230.97,248.12,217.44,228.91,206.5,218.55,198.92,207.05,194.19,199.76,194.31,203.92,198.31,193.82,188.19,197.35,185.52,198.06,185.5,,Peptide450_1,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210.87,253.7,198.41,250.94,205.43,255.22,211.19,250.19,202.14,243.8,201.34,241.95,202.24,233.21,195.6,217.75,196.94,208.26,195.19,199.38,196.25,193.01,194.94,206.62,,Peptide450_1,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
270.77,268.89,260.34,239.75,241.53,210.93,237.36,218.4,224.04,215.51,207.53,207.47,213.08,204.02,202.94,201.75,198.96,198.72,196.65,193.55,194.62,186.48,209.03,209.33,,Peptide450_1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
234.53,302.06,223.25,292.75,209.88,286.97,218.92,285.84,203.91,264.86,214.52,259.9,203.16,247.37,202.09,228.91,199.27,200.14,206.59,202.71,197.91,203.31,191.93,214.4,,Peptide450_1,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
255.88,211.48,242.61,208.18,229.72,231.72,224.33,210.53,212.11,186.16,206.51,203.49,201.86,200.26,200.19,189.83,197.48,193.77,199.75,201.07,194.43,195.86,200.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
246.6,221.84,221.85,211.2,210.57,194.82,209.77,205.07,202.89,203.92,198.23,197.59,202.86,198.86,204.68,195.57,190.9,196.94,203.84,199.44,201.76,194.09,206.7,208.38,,Peptide450_2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
257.31,284.1,241.69,276.39,227.58,250.62,212.38,234.32,202.09,221.93,198.7,205.69,197.79,203.42,204.68,204.78,203.29,200.93,194.89,199.64,191.88,191.61,199.37,199.73,,Peptide450_2,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
285.15,208.96,260.74,200.17,251.27,208.17,232.87,208.29,216.67,200.86,212.47,190.22,202.93,195.81,206.8,200.75,200.3,193.2,200.78,194.95,202.91,192.35,200.59,199.83,,Peptide450_2,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215.27,247.45,216.97,219.31,206.57,211.58,210.11,213.86,200.39,214.5,202.85,198.63,194.76,200.86,196.39,198.28,189.01,195.4,193.15,196.46,195.81,195.92,200.36,200.32,,Peptide450_2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
229.26,288.79,209.72,287.47,203.89,288.28,203.92,271.94,195.63,268.15,199.46,251.48,200.11,241.56,198.31,214.56,199.46,204.8,197.14,198.07,197.38,196.87,194.39,194.78,,Peptide450_2,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
221.04,224.94,208.31,217.82,220.61,218.91,211.22,204.98,204.57,193.71,199.43,194.18,194.33,197.46,186.62,199.19,194.88,193.54,190.26,193.62,203.06,193.69,194.32,201.37,,Peptide450_2,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
256.31,207.2,240.18,204.4,232.58,202,224.45,198.64,206.21,204.07,202.08,199.02,206.87,189.8,199.49,191.09,197.06,184.86,198.9,194.94,193.19,194.03,194.03,197.77,,Peptide450_2,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219.93,211.02,202.29,205.88,208.41,211.62,208.08,211.52,206.53,198.54,194.81,199.36,193.08,193.02,186.3,189.05,194.4,195.76,188.06,199.79,194.45,197.89,196.47,200.01,,Peptide450_2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
242.76,215.8,214.64,214.74,213.23,207.51,220.65,196.53,209.02,194.43,206.42,196.98,200.94,183.1,196.34,199.86,195.14,197.43,200.39,192.27,191.14,193.01,197.06,202.69,,Peptide450_2,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
221.52,300.51,203.56,283.92,205.06,246.67,207.3,242.27,201.96,226.95,206.93,221.03,185.72,210.81,195.85,194.77,192.85,202.03,194.17,196,195.26,189.78,193.15,196.57,,Peptide450_2,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
260.63,211.65,238.84,201.85,234.93,201.11,190.4,202.77,213.69,203.36,200.83,199.27,195.12,184.42,195.56,194.94,192.39,196.83,197.37,200.15,197.13,194.63,193.8,201.38,,Peptide450_2,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
221.89,249.84,207.41,244.37,202.46,213.84,199.88,204.17,207.54,202.66,203.93,200.05,194.37,202.7,200.94,200.84,196.93,198.82,195.13,195.98,197.76,195.22,196.42,196.54,,Peptide450_2,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
283.84,263.33,273.22,252.7,260.46,221.37,228.57,213.31,234.8,207.75,215.78,197.8,208.54,183.89,204.35,194.19,203.31,195.1,196.59,196.96,194.63,190.75,198.46,199.73,,Peptide450_2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
207.45,245.72,207.82,259.12,195.77,246.18,210.97,250.58,203.47,240.08,200.35,237.78,193.87,230.54,195.81,225.03,195.43,212.12,189.42,198.86,193.63,198.7,193.85,202.4,,Peptide450_2,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
268.63,250.96,260.19,239.83,249.36,218.68,233.72,213.51,219.21,198.35,208.11,187.16,202.68,196.37,199.78,199.16,196.37,194.32,202.29,196.96,199.42,189.45,197.83,198.09,,Peptide450_2,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244.75,295.91,228.49,294.48,197.44,280.75,213.83,281.28,202.97,275.41,203.87,255.9,216.28,244.41,204.45,231.26,195.41,205.1,193.67,201.2,202.67,209.27,213.91,208.74,,Peptide450_2,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
260.63,211.65,238.84,201.85,234.93,201.11,190.4,202.77,213.69,203.36,200.83,199.27,195.12,184.42,195.56,194.94,192.39,196.83,197.37,200.15,197.13,194.63,193.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215.84,211.94,204.13,204.16,198.4,183.45,200.3,195.67,192.47,197.32,186.7,193.78,186.81,192.02,197.54,189.25,192.21,191.67,195.52,184.76,198.64,191.18,198.28,195.27,,Peptide450_3,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
224.72,243.49,203.58,240.59,203.27,222.19,192.9,205.15,191.2,194.05,188.37,196.33,187.32,190.72,192.12,188.18,191.81,189.53,193.59,192.76,191.12,185.41,189.48,190.77,,Peptide450_3,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
276.47,199.96,234.38,190.21,226.15,187.41,216.87,185.37,206.41,185.56,198.42,191.87,194.58,188.37,190.84,187.96,191.28,183.24,193.54,190.18,189.87,192.81,187.6,190.44,,Peptide450_3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194.89,221.76,188.67,211.48,187.07,207.1,187.23,195.17,189.53,195.56,186.48,191.68,179.19,191.97,194.47,185.4,190.15,186.23,188.39,189.61,191.09,189.04,189.39,197.46,,Peptide450_3,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214.51,266.36,199.43,263.31,203.04,270.19,206.36,238.25,202.09,248.77,196.39,233.71,197.66,226.3,191.04,201.52,187.37,195.26,194.01,189.46,193.64,192.34,194.6,193.67,,Peptide450_3,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
207.33,210.9,197.73,199.48,199.5,198.7,195.31,191.86,185.83,195.16,197.11,194.91,189.43,188.16,176.69,189.73,191.13,191.08,188.91,191.2,184.81,183.62,190.16,191.02,,Peptide450_3,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
227.26,200.65,216.96,196.18,200.13,190.59,202.02,196.28,191.51,188.54,191.93,192.91,191.95,191.69,190.37,185.54,190.11,190.17,191.21,185.44,185.73,188.45,192.31,188.3,,Peptide450_3,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200.87,197.12,190.89,197,195,194.09,196.41,192.45,189.89,186.91,188.11,191.18,190.87,195.24,192.83,184.62,189.41,185.92,193.23,191.31,192.66,189.05,192.11,193.05,,Peptide450_3,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213.26,203.85,200.07,190.41,196,188.09,190.9,183.73,187.42,193.01,190.92,191.9,196.99,188.16,189.43,191.13,191.23,191.14,192.47,186.69,192.72,184.64,188.12,191.28,,Peptide450_3,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245.39,312.42,219.59,265.09,208.27,238.54,203.73,227,204.91,223.05,204.36,205.08,196.13,202.07,197.07,197.3,182.1,187.15,186.76,190.49,188.07,191.75,189.87,198.33,,Peptide450_3,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
232.96,183.56,219.36,190.06,224.81,191.3,202.24,189.71,191.4,188.05,189.89,188.48,193.2,191.22,191.89,182.05,173.09,187.18,195.06,191.34,191.96,191.15,191.43,187.51,,Peptide450_3,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
