22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,4.5,4.5,2.25,2.25,1.125,1.125,0.5625,0.5625,0.28125,0.28125,0.140625,0.140625,0.0703125,0.0703125,0.03515625,0.03515625,0.017578125,0.017578125,0.008789063,0.008789063,0.004394531,0.004394531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173.06,183.62,164.67,175.87,156.22,172.94,158.23,169.75,159.16,162.79,157.66,160.8,163.7,158.74,155.31,155.89,165.14,160.57,155.12,156.17,165.75,163.07,163.9,158.08,,Peptide433,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,12.47,23.03,4.08,15.28,-4.37,12.35,-2.36,9.16,-1.43,2.2,-2.93,0.21,3.11,-1.85,-5.28,-4.7,4.55,-0.02,-5.47,-4.42,5.16,2.48,3.31,-2.51
173.83,164.02,163.11,161.11,159.29,157.66,166.18,159.02,157.71,159.59,161.01,161.26,160.24,153.45,156.5,151.55,163.65,155.71,157.55,163.65,163.44,157.08,162.34,154.15,,Peptide433,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,13.24,3.43,2.52,0.52,-1.3,-2.93,5.59,-1.57,-2.88,-1,0.42,0.67,-0.35,-7.14,-4.09,-9.04,3.06,-4.88,-3.04,3.06,2.85,-3.51,1.75,-6.44
168.32,170.16,144.09,161.85,166.81,169.75,165.13,160.17,157.37,148.88,159.83,153.96,160.45,148.7,161.87,149.11,163.28,164.7,156.07,157.85,167.66,161.15,166.35,167.25,,Peptide433,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,7.73,9.57,-16.5,1.26,6.22,9.16,4.54,-0.42,-3.22,-11.71,-0.76,-6.63,-0.14,-11.89,1.28,-11.48,2.69,4.11,-4.52,-2.74,7.07,0.56,5.76,6.66
172.77,175.24,160.84,161.83,157.05,163.17,155.24,165.64,159.51,159.35,156.35,157.12,158.88,162.75,161.9,152.49,157.05,159.73,162.81,163.33,168.27,156.22,161.47,157.79,,Peptide433,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,12.18,14.65,0.25,1.24,-3.54,2.58,-5.35,5.05,-1.08,-1.24,-4.24,-3.47,-1.71,2.16,1.31,-8.1,-3.54,-0.86,2.22,2.74,7.68,-4.37,0.88,-2.8
234.54,171.74,218.09,169.3,196.48,154.31,189.27,160.62,183.22,157.87,183.12,160.28,179.92,154.72,170.7,159.75,166.97,156.22,168.51,164.1,171.08,165.81,159.15,156.81,,Peptide433,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,73.95,11.15,57.5,8.71,35.89,-6.28,28.68,0.03,22.63,-2.72,22.53,-0.31,19.33,-5.87,10.11,-0.84,6.38,-4.37,7.92,3.51,10.49,5.22,-1.44,-3.78
165.82,221.31,164.86,211.73,159.31,190.61,168.05,182.19,163.14,185,155.13,167.01,172.58,178.36,157.08,161.36,168.22,162.51,164.87,170.79,167.59,163.42,175.26,163.08,,Peptide433,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5.23,60.72,0,51.14,-1.28,30.02,7.46,21.6,2.55,24.41,-5.46,6.42,11.99,17.77,-3.51,0.77,7.63,1.92,4.28,10.2,7,2.83,14.67,2.49
234.47,165.16,219.8,164.74,208.01,160.47,202.81,158.53,198.49,161.67,184.99,160.07,186.78,162.18,183.58,164.65,178.76,166.1,172.3,168.88,179.82,178.05,159.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162.99,235.67,156.52,224.51,149.83,213.19,152.35,193.23,162.92,195.08,163.08,189.8,154.85,192.02,164.82,180.83,155.5,183.4,164.39,164.91,160.98,147.9,164.88,167.26,,Peptide433,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,157.675,5.315,77.995,-1.155,66.835,-7.845,55.515,-5.325,35.555,5.245,37.405,5.405,32.125,-2.825,34.345,7.145,23.155,-2.175,25.725,6.715,7.235,3.305,-9.775,7.205,9.585
162.57,173.17,149.5,169.5,153.86,153.87,151.22,150.94,146.38,155.78,156.88,154.33,152.24,142.8,156.41,156.92,160.4,161.05,156.03,161.45,163.34,157.94,155.61,158.32,,Peptide433,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,4.895,15.495,-8.175,11.825,-3.815,-3.805,-6.455,-6.735,-11.295,-1.895,-0.795,-3.345,-5.435,-14.875,-1.265,-0.755,2.725,3.375,-1.645,3.775,5.665,0.265,-2.065,0.645
184.51,177.24,166.77,156.86,163.74,152.22,162.08,161.17,154.6,153.93,159.74,156.08,156.66,148.55,156.25,155.57,158.76,156.53,159.48,152.7,163.85,158.3,153.48,155.14,,Peptide433,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,26.835,19.565,9.095,-0.815,6.065,-5.455,4.405,3.495,-3.075,-3.745,2.065,-1.595,-1.015,-9.125,-1.425,-2.105,1.085,-1.145,1.805,-4.975,6.175,0.625,-4.195,-2.535
159.06,258.35,158.89,151.59,154.38,208,160.64,207.03,155.36,195.16,150.62,185.23,158.76,191.57,165.56,183.89,150.28,168.79,159.1,164.85,163.95,165.5,157.98,162.75,,Peptide433,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.385,100.675,1.215,-6.085,-3.295,50.325,2.965,49.355,-2.315,37.485,-7.055,27.555,1.085,33.895,7.885,26.215,-7.395,11.115,1.425,7.175,6.275,7.825,0.305,5.075
164.06,197.16,161.07,181.13,152.22,167.8,156.58,171.7,164.5,159.13,153.66,152.62,156.49,157.94,158.85,162.84,162.2,157.18,162.19,154.12,153,157.1,154.23,160.33,,Peptide433,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,6.385,39.485,3.395,23.455,-5.455,10.125,-1.095,14.025,6.825,1.455,-4.015,-5.055,-1.185,0.265,1.175,5.165,4.525,-0.495,4.515,-3.555,-4.675,-0.575,-3.445,2.655
174.42,149.82,152.38,162.48,162.48,155.99,162.91,154.76,155.21,162.91,146.96,154.64,154.83,158.19,157.46,164.2,153.54,154.03,161.91,154.17,157.4,157.5,157.41,156.26,,Peptide433,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,16.745,-7.855,-5.295,4.805,4.805,-1.685,5.235,-2.915,-2.465,5.235,-10.715,-3.035,-2.845,0.515,-0.215,6.525,-4.135,-3.645,4.235,-3.505,-0.275,-0.175,-0.265,-1.415
176.09,259.88,169.25,246.46,164.73,222.81,154.96,209,156.89,200.53,159.22,201.53,158.42,188.14,156.66,177.17,147.9,174.65,156.26,162.52,160.95,151.37,157.94,152.46,,Peptide433,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,18.415,102.205,11.575,88.785,7.055,65.135,-2.715,51.325,-0.785,42.855,1.545,43.855,0.745,30.465,-1.015,19.495,-9.775,16.975,-1.415,4.845,3.275,-6.305,0.265,-5.215
173.73,162.22,158.57,157.47,157.42,161.55,156.12,160.82,155.09,153.17,153.96,148.14,155.25,158.47,160.29,163.36,156.2,161.76,158.91,160.33,161.57,161.27,158.55,154.84,,Peptide433,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,16.055,4.545,0.895,-0.205,-0.255,3.875,-1.555,3.145,-2.585,-4.505,-3.715,-9.535,-2.425,0.795,2.615,5.685,-1.475,4.085,1.235,2.655,3.895,3.595,0.875,-2.835
166.21,266.95,158.35,242.73,154.18,234.57,143.02,220.58,158.38,218.12,151.8,203.9,162.97,194.09,158.13,189.76,154.76,180.29,156.76,162.1,152.36,162.79,153.85,165.28,,Peptide433,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,8.535,109.275,0.675,85.055,-3.495,76.895,-14.655,62.905,0.705,60.445,-5.875,46.225,5.295,36.415,0.455,32.085,-2.915,22.615,-0.915,4.425,-5.315,5.115,-3.825,7.605
168.5,199.91,157.86,178.01,161.66,179.2,152.7,166.92,159.45,152.89,157.49,159.13,152.45,155.94,142.3,153.67,158.54,152.42,164.45,158.26,156.93,165.57,161.36,154.32,,Peptide433,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,10.825,42.235,0.185,20.335,3.985,21.525,-4.975,9.245,1.775,-4.785,-0.185,1.455,-5.225,-1.735,-15.375,-4.005,0.865,-5.255,6.775,0.585,-0.745,7.895,3.685,-3.355
174.75,178.39,164.72,167.82,155.07,162.58,156.57,169.66,167.08,154.86,155.42,165.54,162.38,158,155.93,153.76,157.83,157.36,154.31,162.85,161.9,163.07,140.05,149.22,,Peptide433,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,17.075,20.715,7.045,10.145,-2.605,4.905,-1.105,11.985,9.405,-2.815,-2.255,7.865,4.705,0.325,-1.745,-3.915,0.155,-0.315,-3.365,5.175,4.225,5.395,-17.625,-8.455
176.22,151.79,155.97,155.59,156.18,154.19,157.02,159.03,156.69,160.87,153.93,161.23,149.82,173.32,150.83,157.8,155.53,160.55,157.75,161.02,161.68,159.89,145.11,164.22,,Peptide433,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,18.545,-5.885,-1.705,-2.085,-1.495,-3.485,-0.655,1.355,-0.985,3.195,-3.745,3.555,-7.855,15.645,-6.845,0.125,-2.145,2.875,0.075,3.345,4.005,2.215,-12.565,6.545
162.8,174.02,151.49,159.71,159.34,147.18,157.37,160.35,158.61,161.36,156.28,148.81,160.48,150.68,155.03,151.64,158.26,160.65,158.99,163.08,148.9,150.29,158.62,161.82,,Peptide433,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5.125,16.345,-6.185,2.035,1.665,-10.495,-0.305,2.675,0.935,3.685,-1.395,-8.865,2.805,-6.995,-2.645,-6.035,0.585,2.975,1.315,5.405,-8.775,-7.385,0.945,4.145
164.49,167.86,158.17,156.32,155.83,156.98,155.71,153.87,156.42,156.24,155.05,158.52,162.09,157.23,148.84,161.6,151,153.37,149.87,152.67,161.91,167.97,154.59,149.06,,Peptide433,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,6.815,10.185,0.495,-1.355,-1.845,-0.695,-1.965,-3.805,-1.255,-1.435,-2.625,0.845,4.415,-0.445,-8.835,3.925,-6.675,-4.305,-7.805,-5.005,4.235,10.295,-3.085,-8.615
