18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,0.002441406,0.002441406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174.7,170.53,174.42,167.53,171.16,163.93,164.55,171.64,172.77,171.76,167.32,165.64,169.96,160.46,171.67,157.92,166.75,169.23,172.82,170.78,170.24,167.82,164.24,168.09,,Peptide432,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,7.535,3.365,7.255,0.365,3.995,-3.235,-2.615,4.475,5.605,4.595,0.155,-1.525,2.795,-6.705,4.505,-9.245,-0.415,2.065,5.655,3.615,3.075,0.655,-2.925,0.925
177.03,202.39,170.91,186.48,168.86,179.53,167.51,176.04,173.67,164.53,172.3,165.51,168.66,170.2,164.36,166.08,172.29,171.86,166.62,165.93,166.77,165.11,175.08,166.71,,Peptide432,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,9.865,35.225,3.745,19.315,1.695,12.365,0.345,8.875,6.505,-2.635,5.135,-1.655,1.495,3.035,-2.805,-1.085,5.125,4.695,-0.545,-1.235,-0.395,-2.055,7.915,-0.455
163.01,180.47,172.53,176.37,166.46,165.09,170.69,169.17,172.65,168.51,167.18,162.93,169.52,168.54,175.02,164.69,167.14,170.37,168.4,162.22,171.32,167.31,167.29,168.07,,Peptide432,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-4.155,13.305,5.365,9.205,-0.705,-2.075,3.525,2.005,5.485,1.345,0.015,-4.235,2.355,1.375,7.855,-2.475,-0.025,3.205,1.235,-4.945,4.155,0.145,0.125,0.905
179.73,258.72,174.77,231.01,176.88,212.04,171.2,194.33,172.45,182.81,171.94,181.71,170.3,173.66,171.15,166.17,173.24,167.16,169.99,164.3,167.79,167.13,167.81,176.73,,Peptide432,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,12.565,91.555,7.605,63.845,9.715,44.875,4.035,27.165,5.285,15.645,4.775,14.545,3.135,6.495,3.985,-0.995,6.075,-0.005,2.825,-2.865,0.625,-0.035,0.645,9.565
170.33,164.73,175.4,168.13,170.76,170.94,167.71,158.62,167.96,170.69,168.47,161.95,161.87,169.45,167.19,167.21,170.07,168.42,167.58,167.36,172,172.54,167.9,170.74,,Peptide432,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,3.165,-2.435,8.235,0.965,3.595,3.775,0.545,-8.545,0.795,3.525,1.305,-5.215,-5.295,2.285,0.025,0.045,2.905,1.255,0.415,0.195,4.835,5.375,0.735,3.575
181.86,170.5,185.62,176.31,175.12,175.45,167.73,178.8,178.23,180.67,175.37,173.96,172.72,182.26,176.41,174.49,170.37,164.34,175.9,177.24,174.61,182.01,176.01,169.64,,Peptide432,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,14.695,3.335,18.455,9.145,7.955,8.285,0.565,11.635,11.065,13.505,8.205,6.795,5.555,15.095,9.245,7.325,3.205,-2.825,8.735,10.075,7.445,14.845,8.845,2.475
172.81,196.74,165.09,175.85,164.17,172.98,167.61,173.09,167.02,166.05,164.02,170.55,167.31,167.91,162.33,165.83,170.66,165.77,171.34,165.57,161.91,166.13,167.91,,,Peptide432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.92,176.2,232.72,168.22,221.73,168.8,222.49,166.39,210.38,166.31,203.58,166.25,194.9,168.71,178.33,169.33,175.8,173.34,169.47,162.93,171,166.11,172.48,170.87,,Peptide433,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,152.195,89.725,24.005,80.525,16.025,69.535,16.605,70.295,14.195,58.185,14.115,51.385,14.055,42.705,16.515,26.135,17.135,23.605,21.145,17.275,10.735,18.805,13.915,20.285,18.675
177.8,169.08,169.99,166.91,170.39,171.52,175.83,169.69,170,171.35,165.4,168.22,169.24,136.53,170.95,149.93,173.85,166.98,164.96,176.4,163.01,160.66,170.26,176.96,,Peptide433,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,25.605,16.885,17.795,14.715,18.195,19.325,23.635,17.495,17.805,19.155,13.205,16.025,17.045,-15.665,18.755,-2.265,21.655,14.785,12.765,24.205,10.815,8.465,18.065,24.765
224.41,167.71,209.17,170.49,208.32,164.88,209.11,170.65,195.02,168.82,195.32,165.63,195.43,168.82,182.85,165.08,171.5,165.28,173.47,164.92,169.99,172.21,168.44,164.85,,Peptide433,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,72.215,15.515,56.975,18.295,56.125,12.685,56.915,18.455,42.825,16.625,43.125,13.435,43.235,16.625,30.655,12.885,19.305,13.085,21.275,12.725,17.795,20.015,16.245,12.655
189.77,175.29,178.76,169.84,178.28,171.27,170.42,172.88,173.49,168.36,167.63,171.53,169.48,169.36,167.05,165.39,167.67,168.82,167.73,166.45,168.89,165.85,166.68,165.92,,Peptide433,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,37.575,23.095,26.565,17.645,26.085,19.075,18.225,20.685,21.295,16.165,15.435,19.335,17.285,17.165,14.855,13.195,15.475,16.625,15.535,14.255,16.695,13.655,14.485,13.725
176.45,189.23,170.15,172.96,161.95,173.41,166.64,169.97,163.81,170.59,163.42,160.49,163.86,166.2,164.34,162.04,173.13,166.56,165.48,163.7,165.04,172.14,170.39,166.79,,Peptide433,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,24.255,37.035,17.955,20.765,9.755,21.215,14.445,17.775,11.615,18.395,11.225,8.295,11.665,14.005,12.145,9.845,20.935,14.365,13.285,11.505,12.845,19.945,18.195,14.595
208.74,179.98,191.71,179.07,188.49,171.32,176.2,167.16,175.86,170.5,176.34,169.67,165.51,163.72,169.64,168.61,170.67,170.01,163.42,166.65,164.88,169.71,160,162.62,,Peptide433,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,56.545,27.785,39.515,26.875,36.295,19.125,24.005,14.965,23.665,18.305,24.145,17.475,13.315,11.525,17.445,16.415,18.475,17.815,11.225,14.455,12.685,17.515,7.805,10.425
180,169.54,167.36,164.92,169.37,172.86,164.72,163.09,163.64,165.69,172.26,158.61,170.44,165.78,155.13,168.23,174.12,166.25,165.06,164.06,167.82,171.19,163.3,168.7,,Peptide433,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,27.805,17.345,15.165,12.725,17.175,20.665,12.525,10.895,11.445,13.495,20.065,6.415,18.245,13.585,2.935,16.035,21.925,14.055,12.865,11.865,15.625,18.995,11.105,16.505
173.29,179.26,173.3,173.29,174.44,174.64,174.31,174.96,168.91,167.77,170.26,169.66,171.96,170.56,165.96,165.84,164.94,169.11,170.27,168.86,168.51,169.45,171.71,154.05,,Peptide433,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,21.095,27.065,21.105,21.095,22.245,22.445,22.115,22.765,16.715,15.575,18.065,17.465,19.765,18.365,13.765,13.645,12.745,16.915,18.075,16.665,16.315,17.255,19.515,1.855
184.54,172.76,173.57,175.45,171.64,170.83,171.56,168.78,162.65,165.56,165.47,164.44,160.79,172.51,165.73,164.45,163.61,168.21,164.7,162.41,164.46,162.81,165.63,165.49,,Peptide433,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,32.345,20.565,21.375,23.255,19.445,18.635,19.365,16.585,10.455,13.365,13.275,12.245,8.595,20.315,13.535,12.255,11.415,16.015,12.505,10.215,12.265,10.615,13.435,13.295
181.4,185.95,171.38,179.95,167.26,182.1,169.13,169.64,167.21,166.83,168.06,172.15,164.5,164.99,171.83,167.48,175.84,168.55,170.61,169.05,166.71,166.61,166.78,165.64,,Peptide433,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,29.205,33.755,19.185,27.755,15.065,29.905,16.935,17.445,15.015,14.635,15.865,19.955,12.305,12.795,19.635,15.285,23.645,16.355,18.415,16.855,14.515,14.415,14.585,13.445
175.81,155.63,168.69,169.1,163.73,161.29,170.49,165.43,164.1,162.17,167.15,162.83,161.16,168.95,169.69,166.16,166.92,164.78,166.43,168.56,169.71,170.11,163.25,164.59,,Peptide433,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,23.615,3.435,16.495,16.905,11.535,9.095,18.295,13.235,11.905,9.975,14.955,10.635,8.965,16.755,17.495,13.965,14.725,12.585,14.235,16.365,17.515,17.915,11.055,12.395
165.58,185.57,165.62,178.75,164.94,167.89,166.23,175.69,170.09,172.72,163.64,172.13,165.1,164.9,170.26,169.74,168.2,167.66,163.66,165.67,162.53,169.56,166.29,151.33,,Peptide433,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,13.385,33.375,13.425,26.555,12.745,15.695,14.035,23.495,17.895,20.525,11.445,19.935,12.905,12.705,18.065,17.545,16.005,15.465,11.465,13.475,10.335,17.365,14.095,-0.865
174.48,224.82,175.18,216.88,164.75,212.8,164.04,207.69,165.86,204.07,159.98,192.37,163.12,182.44,166.8,176.87,167.07,172.14,158.22,166.47,169.1,163.6,167.11,167.46,,Peptide433,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,22.285,72.625,22.985,64.685,12.555,60.605,11.845,55.495,13.665,51.875,7.785,40.175,10.925,30.245,14.605,24.675,14.875,19.945,6.025,14.275,16.905,11.405,14.915,15.265
177.58,241.89,172.28,202.04,168.52,198.99,176.03,181.94,169.72,175.6,165.8,173.36,170.89,164.4,166.19,167.59,160.65,167.5,165.2,163.57,162.86,164.13,164.4,161.38,,Peptide433,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,25.385,89.695,20.085,49.845,16.325,46.795,23.835,29.745,17.525,23.405,13.605,21.165,18.695,12.205,13.995,15.395,8.455,15.305,13.005,11.375,10.665,11.935,12.205,9.185
166.77,174.22,169.92,158.46,169.99,171.35,166.03,164.43,170.07,166.77,165.37,166.82,167.33,162.56,159.91,166.08,170.83,164.89,162.19,163.08,163.81,168.81,164.82,165.86,,Peptide433,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,14.575,22.025,17.725,6.265,17.795,19.155,13.835,12.235,17.875,14.575,13.175,14.625,15.135,10.365,7.715,13.885,18.635,12.695,9.995,10.885,11.615,16.615,12.625,13.665
177.73,166.47,184.24,179.39,178.33,172.35,180.41,177.19,170.5,171.99,180.23,177.24,175.73,170.06,174.58,171.97,171.89,161.97,164.41,167.37,170.25,174.43,167.72,162.63,,Peptide433,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,25.535,14.275,32.045,27.195,26.135,20.155,28.215,24.995,18.305,19.795,28.035,25.045,23.535,17.865,22.385,19.775,19.695,9.775,12.215,15.175,18.055,22.235,15.525,10.435
150.79,176.21,148.02,163.32,155.03,155.76,159.46,156.89,153.74,154.97,153.27,149.05,150.72,151.28,151.12,151.9,153.28,150.84,144.05,152.72,150.36,148.85,153.46,,,Peptide433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
