45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,,,,,,,,,,,,,,,,,,,,,,,,
156.64,199.84,182.7,195.84,168.77,189.33,182.18,169.57,183.51,157.62,180.13,179.86,182.39,179.5,181.27,163.92,182.54,179.42,180.59,176.36,180.44,162.03,179.99,159.59,,Peptide656-1,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
280.78,156.04,267.36,166.2,161.87,169.68,171.81,180.87,152.48,170.09,196.93,159.7,196.81,171,177.24,179.43,190.28,152.08,169.01,168.06,168.63,147.13,185.1,165.66,,Peptide656-1,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180.61,191.45,186.01,188.53,176.67,176.65,164.61,157.76,186.17,185.49,181.46,180.97,181.64,175.07,178.47,181.44,177.97,181.42,155.31,158.66,179.93,177.99,185.95,177.72,,Peptide656-1,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181.98,164.83,161.38,180.11,167.45,174.35,169.58,181.08,170.79,180.54,178.74,178.1,171.77,182.59,173.1,186.22,194.83,189.54,196.69,201.45,164.77,157.32,183.12,191.79,,Peptide656-1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163.93,203.65,176.06,191.51,164.36,191.64,187.73,177.9,169.61,181.41,170.79,182.48,185.07,179.17,160.29,180.8,206.48,202.62,188.14,178.75,157.4,161.58,186.08,190.71,,Peptide656-1,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173.03,176.14,169.59,174.46,233.22,176.72,212.52,182.24,211.07,188.77,147.94,159.23,139.47,178.38,156.08,178.23,164.19,178.02,184.62,173.73,176.85,150.75,181.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159.78,200.37,208.47,188.75,195.66,188.03,200.08,187.51,193.01,194.36,195.7,185.1,200.33,195.41,196.65,186.39,194.93,190.8,191.45,183.53,195.2,188.83,195.05,193.28,,Peptide657-1,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
222.66,193.5,197.09,194.35,196.19,195.76,202,194.38,191.75,192.05,194.69,189.11,185.24,190.18,180.8,183.39,190.16,189.43,184.46,187.03,184.2,181.95,189.87,189.35,,Peptide657-1,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157.82,185.1,156.03,184.17,198.21,180.08,165.28,183.96,194,167.4,153.46,187.57,168.8,188.84,199.09,196.27,194.03,187.35,198.42,186.67,189.85,181.69,188.75,189.44,,Peptide657-1,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188.94,183.54,183.85,195.7,191.53,185.33,185.78,191.15,187.22,188.84,187.64,183.78,185.14,182.76,187.09,189.18,186.12,185.51,185.06,185.92,171.33,186.58,187.02,188.14,,Peptide657-1,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154.13,204.18,193.99,201.65,199.37,185.45,196.03,192.92,189.24,164.33,190.57,186.92,202.28,203.34,193.36,181.3,200.03,180.72,197.36,182.74,187.79,187.22,188.1,187.9,,Peptide657-1,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
187.31,200.1,182.4,192.48,180.2,189.83,187.32,188.15,188.25,183.74,189.69,179.48,170.28,183.43,184.2,185.45,187.29,186.86,183.97,184.47,183.22,184.22,187.65,186.43,,Peptide657-1,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153.1,202.21,176.89,196.7,192.98,179.43,185.66,185.07,186.51,182.36,194.72,179.02,186.83,183.25,184.53,185.32,189.13,183.7,194.35,182.99,190.75,181.81,183.23,187.39,,Peptide657-1,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
193.77,189.38,186.41,188.85,184.66,179.14,187.03,178.4,180.17,189.57,178.32,177.14,183.79,183.78,182.76,185.22,187.96,184.56,184.05,183.87,184.72,189.26,184.93,189.26,,Peptide657-1,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188.64,178.77,168.03,177.96,169.88,180.81,153.98,178.64,172.07,180.59,188.59,189.47,171.54,180.13,184.76,182.72,192.36,169.95,183.94,185.62,185.18,180.7,179.23,189.4,,Peptide657-1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
198.52,215.06,190.51,204.2,183.09,191.59,185.18,185.75,193.27,182.05,179.59,183.68,179.77,185.73,178.96,183.8,183.66,185.27,182.54,187.16,182.35,179.79,185.39,194.97,,Peptide657-1,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188.3,172.18,159.46,185.63,163.39,178.28,194.97,182.72,158.14,181.42,167.79,178.77,151.87,187.69,167.43,180.64,171.93,177.17,191.55,181.53,195.08,189.65,191.65,181.89,,Peptide657-1,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
